...1,2010 CS Code,2010 County Set Name,2010 County Set Description,FIPS State Code,FIPS County Code,2010 County Population,2010 Total CS Population
226,13CS005,Bartow,Bartow,13,015,100157,100157
,"","","","","",,
227,13CS006,Bibb,Bibb,13,021,155547,155547
,"","","","","",,
228,13CS007,Bleckley+Dodge+Pulaski+Twiggs,Bleckley,13,023,13063,55892
,"","",Dodge,13,091,21796,
,"","",Pulaski,13,235,12010,
,"","",Twiggs,13,289,9023,
,"","","","","",,
229,13CS008,Brantley+Pierce+Ware,Brantley,13,025,18411,73481
,"","",Pierce,13,229,18758,
,"","",Ware,13,299,36312,
,"","","","","",,
230,13CS009,Brooks+Thomas,Brooks,13,027,16243,60963
,"","",Thomas,13,275,44720,
,"","","","","",,
231,13CS010,Bryan+Liberty,Bryan,13,029,30233,93686
,"","",Liberty,13,179,63453,
,"","","","","",,
232,13CS011,Bulloch,Bulloch,13,031,70217,70217
,"","","","","",,
233,13CS012,Burke+Emanuel+Jenkins+Screven,Burke,13,033,23316,68847
,"","",Emanuel,13,107,22598,
,"","",Jenkins,13,165,8340,
,"","",Screven,13,251,14593,
,"","","","","",,
234,13CS013,Butts+Lamar+Monroe,Butts,13,035,23655,68396
,"","",Lamar,13,171,18317,
,"","",Monroe,13,207,26424,
,"","","","","",,
235,13CS014,Calhoun and Nearby Counties,Baker,13,007,3451,78306
,"","",Calhoun,13,037,6694,
,"","",Clay,13,061,3183,
,"","",Early,13,099,11008,
,"","",Lee,13,177,28298,
,"","",Miller,13,201,6125,
,"","",Quitman,13,239,2513,
,"","",Randolph,13,243,7719,
,"","",Terrell,13,273,9315,
,"","","","","",,
236,13CS015,Camden+Charlton,Camden,13,039,50513,62684
,"","",Charlton,13,049,12171,
,"","","","","",,
237,13CS016,Candler+Evans+Tattnall+Toombs,Candler,13,043,10998,74741
,"","",Evans,13,109,11000,
,"","",Tattnall,13,267,25520,
,"","",Toombs,13,279,27223,
,"","","","","",,
238,13CS017,Carroll+Heard,Carroll,13,045,110527,122361
,"","",Heard,13,149,11834,
,"","","","","",,
239,13CS018,Catoosa,Catoosa,13,047,63942,63942
,"","","","","",,
240,13CS019,Chatham,Chatham,13,051,265128,265128
,"","","","","",,
241,13CS020,Chattooga+Dade+Walker,Chattooga,13,055,26015,111404
,"","",Dade,13,083,16633,
,"","",Walker,13,295,68756,
,"","","","","",,
242,13CS021,Cherokee+Pickens,Cherokee,13,057,214346,243777
,"","",Pickens,13,227,29431,
,"","","","","",,
243,13CS022,Clarke+Madison+Oconee,Clarke,13,059,116714,177642
,"","",Madison,13,195,28120,
,"","",Oconee,13,219,32808,
,"","","","","",,
244,13CS023,Clayton,Clayton,13,063,259424,259424
,"","","","","",,
245,13CS024,Cobb,Cobb,13,067,688078,688078
,"","","","","",,
246,13CS025,Colquitt+Mitchell,Colquitt,13,071,45498,68996
,"","",Mitchell,13,205,23498,
,"","","","","",,
247,13CS026,Columbia,Columbia,13,073,124053,124053
,"","","","","",,
248,13CS027,Coweta,Coweta,13,077,127317,127317
,"","","","","",,
249,13CS028,Crawford+Peach+Pike+Upson,Crawford,13,079,12630,85347
